number,value,datetime_start,datetime_complete,duration,params_dropout,params_freeze,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,system_attrs_fixed_params,state
0,56.353271507678315,2026-03-14 00:29:28.327595,2026-03-14 00:31:35.536958,0 days 00:02:07.209363,0.25562306762754566,True,128,0.002494998277098372,2,2.3371875941792994e-05,"{'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.25562306762754566, 'lr': 0.002494998277098372, 'weight_decay': 2.3371875941792994e-05, 'freeze': True}",COMPLETE
1,46.525645955910946,2026-03-14 00:31:35.541965,2026-03-14 00:35:02.685631,0 days 00:03:27.143666,0.5687337310239001,True,128,0.00015725798650741317,2,2.0898166184598376e-05,,COMPLETE
2,52.51207245620264,2026-03-14 00:35:02.689849,2026-03-14 00:37:58.516379,0 days 00:02:55.826530,0.4266513836277569,False,128,0.00014675571964836045,1,0.0003635597687321576,,COMPLETE
3,40.574250611431765,2026-03-14 00:37:58.520959,2026-03-14 00:47:53.562841,0 days 00:09:55.041882,0.2609549873917077,True,256,0.0001709209766625212,2,0.004234249698087889,,COMPLETE
4,52.56829446933009,2026-03-14 00:47:53.566430,2026-03-14 00:51:20.196826,0 days 00:03:26.630396,0.44666071501771276,True,128,0.00032221581867110843,2,1.2339766486519128e-05,,COMPLETE
5,54.915738960368834,2026-03-14 00:51:20.202327,2026-03-14 01:01:48.559856,0 days 00:10:28.357529,0.5274449393583952,False,256,0.0002421164322038085,2,6.821354539418884e-05,,COMPLETE
6,55.62878441409851,2026-03-14 01:01:48.563673,2026-03-14 01:03:43.850140,0 days 00:01:55.286467,0.4730592081829939,False,64,0.0008099372772089152,2,5.06622038497781e-05,,COMPLETE
7,48.538351540936496,2026-03-14 01:03:43.854120,2026-03-14 01:09:12.678815,0 days 00:05:28.824695,0.4659150895945666,True,256,0.0005395067883835379,1,0.0012138043610738485,,COMPLETE
8,55.30227496830097,2026-03-14 01:09:12.682816,2026-03-14 01:11:21.350219,0 days 00:02:08.667403,0.20536701931413612,True,64,0.005088811551000251,1,0.00023744422839150673,,COMPLETE
9,54.7035134774292,2026-03-14 01:11:21.353802,2026-03-14 01:15:36.637344,0 days 00:04:15.283542,0.3014724407225312,False,256,0.0004672957862504748,1,2.050388677628261e-05,,COMPLETE
10,53.85270560335482,2026-03-14 01:15:36.640867,2026-03-14 01:18:02.363450,0 days 00:02:25.722583,0.3130062491474808,True,128,0.002580865511226742,2,0.00014795221116670714,,COMPLETE
11,55.91427125893116,2026-03-14 01:18:02.368203,2026-03-14 01:19:40.960432,0 days 00:01:38.592229,0.3787916332775887,False,64,0.0014139855654853358,2,5.4899667056654275e-05,,COMPLETE
12,55.89802255271158,2026-03-14 01:19:40.963431,2026-03-14 01:21:52.841662,0 days 00:02:11.878231,0.3676041175099832,False,64,0.001908104772383897,2,5.218221122421207e-05,,COMPLETE
13,54.46440295823152,2026-03-14 01:21:52.844662,2026-03-14 01:24:04.855353,0 days 00:02:12.010691,0.36137630505845686,False,64,0.009520853868677707,2,9.912807619222927e-05,,COMPLETE
14,53.62423900469761,2026-03-14 01:24:04.859936,2026-03-14 01:27:34.203007,0 days 00:03:29.343071,0.20357156355026199,True,128,0.0015899120706149004,2,0.0006039312260977992,,COMPLETE
15,56.12284941639929,2026-03-14 01:27:34.207593,2026-03-14 01:28:56.680802,0 days 00:01:22.473209,0.27646003871290686,False,64,0.003681344645528982,2,3.011674675393783e-05,,COMPLETE
