epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.2757,52.51,1.0713,61.82,46.38
2,1.0617,60.94,1.0001,62.84,50.89
3,1.0037,63.07,0.974,67.67,51.21
4,0.9714,64.2,0.9421,68.06,54.32
5,0.948,65.15,0.9459,69.36,55.73
6,0.9335,65.5,0.9307,64.38,52.06
7,0.9171,66.16,0.9185,65.66,53.72
8,0.9089,66.48,0.9074,67.12,54.58
9,0.8841,67.17,0.909,65.63,53.01
10,0.8729,67.33,0.9054,69.87,55.95
11,0.8693,67.67,0.9012,67.86,55.14
12,0.8631,67.66,0.9012,69.41,55.78
13,0.8562,67.66,0.9129,69.88,54.27
14,0.8402,68.24,0.9023,67.67,54.0
15,0.8331,68.38,0.8999,69.07,55.62
