number,value,datetime_start,datetime_complete,duration,params_freeze,params_hidden_dim,params_label_smoothing,params_lr,params_lstm_dropout,params_num_layers,params_spatial_dropout,params_weight_decay,system_attrs_fixed_params,state
0,55.573658599924734,2026-03-14 15:44:56.529925,2026-03-14 15:49:55.361811,0 days 00:04:58.831886,True,128,0.1,0.001,0.25,2,0.2,2.3e-05,"{'hidden_dim': 128, 'num_layers': 2, 'spatial_dropout': 0.2, 'lstm_dropout': 0.25, 'lr': 0.001, 'weight_decay': 2.3e-05, 'freeze': True, 'label_smoothing': 0.1}",COMPLETE
1,52.21035580172428,2026-03-14 15:49:55.366346,2026-03-14 15:52:13.892699,0 days 00:02:18.526353,True,64,0.060713283855237714,0.0006051116031042218,0.4522046285936152,2,0.20452737504869478,1.6937083361970258e-05,,COMPLETE
2,50.1517227668972,2026-03-14 15:52:13.896204,2026-03-14 15:54:54.783212,0 days 00:02:40.887008,True,128,0.056738787409321235,0.0007341141356026934,0.23204626832577252,1,0.16075787562400418,0.0004622077097852302,,COMPLETE
3,44.605423166078374,2026-03-14 15:54:54.787213,2026-03-14 16:09:13.566993,0 days 00:14:18.779780,True,256,0.11612135540889452,0.0008596116259819575,0.24643320174779776,2,0.22502232720553353,0.0008682533154992015,,COMPLETE
4,42.82549832555286,2026-03-14 16:09:13.570990,2026-03-14 16:16:52.829716,0 days 00:07:39.258726,False,256,0.10904947774433014,0.00019046642305633183,0.3337270862508047,1,0.35917733955247033,0.0024221975115045298,,COMPLETE
5,1.0295221416062046,2026-03-14 16:16:52.834739,2026-03-14 16:21:51.769958,0 days 00:04:58.935219,False,256,0.03148130743899571,0.00511604212080936,0.4382679815996441,2,0.10523084484560957,0.004693092271610248,,COMPLETE
6,29.728079536984854,2026-03-14 16:21:51.775548,2026-03-14 16:27:50.688007,0 days 00:05:58.912459,False,256,0.19799221159125702,0.003915235744327629,0.12933022054560117,2,0.12519570762247914,3.7941605929869195e-05,,COMPLETE
7,23.118714536056643,2026-03-14 16:27:50.691541,2026-03-14 16:30:40.649398,0 days 00:02:49.957857,True,64,0.16406661947373155,0.00021863185235965394,0.1827644358864475,1,0.3458397536311377,0.0006921355564362897,,COMPLETE
8,18.012098871215244,2026-03-14 16:30:40.653952,2026-03-14 16:33:15.839816,0 days 00:02:35.185864,True,64,0.19266532101614933,0.00015589663932035397,0.4879650869789107,1,0.1537061524433836,1.8111540727706182e-05,,COMPLETE
9,49.89717151012441,2026-03-14 16:33:15.843406,2026-03-14 16:36:31.999668,0 days 00:03:16.156262,False,256,0.0729091515378556,0.007173472999994182,0.13198047761908882,1,0.16168370814957123,1.0552181780066367e-05,,COMPLETE
10,55.38360525228728,2026-03-14 16:36:32.004670,2026-03-14 16:39:27.038319,0 days 00:02:55.033649,True,128,0.0029471579316540097,0.002325746545314527,0.3661734143809498,2,0.2900726962245074,8.981940420365498e-05,,COMPLETE
11,54.42158988448364,2026-03-14 16:39:27.042822,2026-03-14 16:41:43.040669,0 days 00:02:15.997847,True,128,0.018471578996745924,0.0019936724136712936,0.3451998832235257,2,0.2920965081073111,9.600977805371532e-05,,COMPLETE
