epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.2969,52.5,1.1341,52.68,45.39,0.0020204623717309253
2,1.1277,60.55,1.0579,65.51,50.23,0.0020204623717309253
3,1.0736,63.13,1.0433,66.49,52.98,0.0020204623717309253
4,1.0535,64.0,1.0333,65.07,48.19,0.0020204623717309253
5,1.0386,64.47,1.0446,68.85,55.72,0.0020204623717309253
6,1.0307,64.77,1.0132,68.49,54.18,0.0020204623717309253
7,1.0196,65.08,1.0126,70.72,54.89,0.0020204623717309253
8,1.015,65.47,0.9934,65.14,52.4,0.0010102311858654627
9,0.9888,66.19,0.9817,69.12,56.6,0.0010102311858654627
10,0.9855,66.35,0.9898,62.85,52.15,0.0010102311858654627
11,0.9831,66.35,0.9772,68.97,55.48,0.0010102311858654627
12,0.9778,66.67,0.9833,62.85,52.34,0.0005051155929327313
13,0.9651,66.96,0.971,69.29,56.27,0.0005051155929327313
14,0.9588,67.03,0.972,70.38,57.08,0.0005051155929327313
15,0.9571,66.97,0.9719,70.63,56.71,0.0005051155929327313
16,0.9533,67.11,0.9685,68.51,55.77,0.0005051155929327313
17,0.9502,67.26,0.9764,68.35,54.17,0.00025255779646636567
18,0.9412,67.42,0.9656,68.61,56.07,0.00025255779646636567
19,0.9383,67.37,0.9663,69.53,56.25,0.00025255779646636567
