epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.144,57.04,0.9595,64.23,51.11
2,0.9684,64.6,0.9442,59.97,50.81
3,0.9351,65.62,0.9178,64.0,54.29
4,0.913,66.34,0.9049,70.25,56.84
5,0.9056,66.67,0.9037,68.18,53.39
6,0.8878,66.95,0.8918,67.22,55.29
7,0.8822,67.15,0.8864,66.97,55.33
8,0.8541,67.85,0.8803,69.19,56.69
9,0.8436,68.11,0.8873,70.0,57.39
10,0.8376,68.16,0.8918,70.66,57.13
11,0.83,68.25,0.8863,70.68,55.74
12,0.8212,68.3,0.8988,71.43,57.25
13,0.7946,68.99,0.8948,68.82,57.0
14,0.7859,69.0,0.8921,70.22,57.16
